,species
2286,Dysosmobacter welbionis
2291,Bacteroides timonensis
2295,Lentilactobacillus otakiensis
2296,Lactobacillus jensenii
2297,Streptococcus constellatus
2300,Prevotella histicola
2303,Bifidobacterium moukalabense
2306,Synergistes jonesii
2307,Acetobacter tropicalis
2308,Paenibacillus urinalis
2309,Streptomyces sp900116325
2310,Lysinibacillus xylanilyticus
2313,Methylobacterium ajmalii
2314,Aneurinibacillus migulanus
2315,Kosakonia oryziphila
2316,Pantoea brenneri
2317,Lactobacillus bombicola
2318,Gilliamella intestini
2319,Priestia flexa
2321,Cohaesibacter marisflavi
2322,Paenibacillus sophorae
2323,Billgrantia gudaonensis
2324,Komagataeibacter rhaeticus
2326,Franconibacter pulveris
2327,Apilactobacillus kunkeei
2328,Roseovarius indicus
2331,Halobacillus karajensis
2332,Micromonospora eburnea
2336,Streptococcus equinus
2338,Pantoea eucalypti
2340,Robbsia andropogonis
2342,Acidovorax temperans
2344,Rhodococcus pyridinivorans
2345,Rhodococcus aetherivorans
2347,Sphingomonas aerolata
2348,Tetragenococcus muriaticus
2350,Escherichia marmotae
2351,Bacillus spizizenii
2353,Actinobacillus lignieresii
2354,Pantoea eucrina
2358,Staphylococcus equorum
2360,Enterobacter soli
2361,Lactobacillus kullabergensis
2362,Noviherbaspirillum autotrophicum
2363,Micromonospora pallida
2364,Pelosinus propionicus
2365,Salimicrobium halophilum
2366,Streptomyces bacillaris
2369,Xylanibacter rarus
2371,Methylobacterium indicum
2374,Brucella anthropi
2377,Ferriphaselus amnicola
2381,Paenibacillus cookii
2392,Halomonas caseinilytica
2394,Cupriavidus pauculus
2395,Dysgonomonas macrotermitis
2400,Parageobacillus thermantarcticus
2402,Alteribacillus persepolensis
2403,Sinorhizobium sojae
2404,Streptomyces albidoflavus
2405,Lentilactobacillus parabuchneri
2406,Apilactobacillus ozensis
2407,Lentilactobacillus kefiri
2413,Oceanicella actignis
2415,Streptomyces neyagawaensis
2416,Liquorilactobacillus hordei
2417,Limosilactobacillus fermentum
2418,Lactiplantibacillus paraplantarum
2419,Lacticaseibacillus pantheris
2420,Carbonactinospora thermoautotrophica
2424,Massilia yuzhufengensis
2425,Limosilactobacillus ingluviei
2426,Sinorhizobium fredii
2429,Yersinia similis
2431,Yersinia aldovae
2435,Paraburkholderia lycopersici
2437,Nitrosomonas halophila
2438,Nitrosomonas communis
2439,Nonomuraea wenchangensis
2440,Nonomuraea maritima
2441,Streptomyces indicus
2442,Marininema halotolerans
2443,Staphylococcus cohnii
2444,Mycobacteroides immunogenum
2445,Moellerella wisconsensis
2446,Achromobacter piechaudii
2447,Ligilactobacillus hayakitensis
2448,Bifidobacterium boum
2449,Nocardia farcinica
2451,Xenorhabdus mauleonii
2452,Chryseobacterium oranimense
2457,Deinococcus grandis
2458,Streptomyces prasinopilosus
2459,Celeribacter indicus
2460,Bifidobacterium mongoliense
2461,Trabulsiella odontotermitis
2469,Blastococcus xanthinilyticus
2470,Cruoricaptor ignavus
2471,Bacteroides stercorirosoris
2472,Lentilactobacillus buchneri
2473,Liquorilactobacillus capillatus
2477,Clostridium saccharobutylicum
2478,Lentilactobacillus sunkii
2479,Clostridium beijerinckii
2481,Limosilactobacillus gorillae
2482,Neorhizobium galegae
2484,Yersinia rohdei
2490,Brachyspira hyodysenteriae
2491,Tritonibacter mobilis
2492,Chromobacterium subtsugae
2493,Caballeronia fortuita
2494,Caballeronia temeraria
2503,Haematospirillum jordaniae
2506,Micrococcus luteus
2507,Heyndrickxia coagulans
2508,Mycolicibacterium canariasense
2509,Yersinia mollaretii
2510,Gluconobacter oxydans
2511,Paenibacillus jilunlii
2512,Cohaesibacter gelatinilyticus
2513,Allonocardiopsis opalescens
2514,Haloactinopolyspora alba
2515,Ensifer adhaerens
2518,Rhodococcus qingshengii
2519,Liquorilactobacillus satsumensis
2522,Alicyclobacillus sendaiensis
2523,Skermania piniformis
2524,Sphingomonas sanguinis
2525,Psychrobacter phenylpyruvicus
2526,Niallia circulans
2527,Ligilactobacillus murinus
2528,Alkalihalobacillus trypoxylicola
2529,Bergeriella denitrificans
2533,Paraburkholderia kirstenboschensis
2535,Mammaliicoccus sciuri
2536,Salmonella enterica
2538,Secundilactobacillus kimchicus
2539,Breoghania corrubedonensis
2543,Rhodobacter aestuarii
2547,Escherichia ruysiae
2548,Secundilactobacillus collinoides
2549,Serratia ureilytica
2550,Lactococcus taiwanensis
2551,Thalassospira xiamenensis
2553,Psychrobacter piscatorii
2556,Candidatus Arsenophonus triatominarum
2558,Eikenella exigua
2562,Morganella psychrotolerans
2566,Falsochrobactrum ovis
2567,Tumebacillus permanentifrigoris
2568,Thermovibrio guaymasensis
2569,Lactobacillus melliventris
2570,Bombilactobacillus mellis
2573,Streptomyces massasporeus
2574,Paraburkholderia caballeronis
2575,Streptomyces californicus
2576,Methylobacterium fujisawaense
2577,Streptomyces violaceorubidus
2579,Vibrio celticus
2580,Acinetobacter wuhouensis
2581,Acinetobacter defluvii
2583,Streptococcus xiaochunlingii
2585,Paraburkholderia unamae
2586,Phytobacter diazotrophicus
2587,Marinobacter nauticus
2589,Nocardia ignorata
2590,Nocardia puris
2591,Achromobacter marplatensis
2592,Pseudochrobactrum asaccharolyticum
2593,Actinomyces urogenitalis
2594,Acinetobacter seifertii
2595,Cardiobacterium hominis
2596,Neisseria mucosa
2597,Acetivibrio straminisolvens
2598,Caballeronia zhejiangensis
2601,Alloscardovia omnicolens
2602,Streptomyces iakyrus
2604,Streptomyces fradiae
2605,Streptomyces bauhiniae
2606,Streptomyces olivochromogenes
2610,Andreesenia angusta
2613,Neorhizobium huautlense
2614,Cellulosimicrobium funkei
2615,Kroppenstedtia guangzhouensis
2617,Pectinatus cerevisiiphilus
2619,Abyssicoccus albus
2620,Methylobrevis pamukkalensis
2621,Ileibacterium valens
2622,Chimaeribacter arupi
2625,Duodenibacillus massiliensis
2629,Pararhizobium antarcticum
2630,Zunongwangia atlantica
2632,Tatumella saanichensis
2633,Acuticoccus yangtzensis
2634,Proteus columbae
2637,Mixta gaviniae
2638,Burkholderia contaminans
2639,Streptomyces africanus
2640,Streptomyces tricolor
2641,Acinetobacter proteolyticus
2646,Marinisporobacter balticus
2650,Streptomyces griseoluteus
2660,Micromonospora aurantiaca
2661,Staphylococcus kloosii
2664,Staphylococcus gallinarum
2665,Staphylococcus chromogenes
2666,Staphylococcus arlettae
2667,Rodentibacter ratti
2668,Pantoea rwandensis
2669,Bradyrhizobium stylosanthis
2672,Vibrio lentus
2673,Staphylococcus agnetis
2674,[Ruminococcus] torques
2675,Mediterraneibacter faecis
2679,Gleimia hominis
2680,Globicatella sanguinis
2683,Bordetella avium
2684,Lactobacillus gallinarum
2685,Streptomyces acidiscabies
2688,Phaeobacter piscinae
2689,Phaeobacter inhibens
2690,Mycolicibacterium fortuitum
2693,Staphylococcus simulans
2695,Streptomyces rimosus
2696,Kitasatospora viridis
2698,Brucella intermedia
2700,Micromonospora echinaurantiaca
2701,Bifidobacterium scardovii
2702,Neisseria subflava
2703,Streptococcus cristatus
2705,Enterovibrio norvegicus
2710,Paenibacillus rhizosphaerae
2711,Halomonas organivorans
2712,Halomonas fontilapidosi
2714,Streptococcus symci
2720,Runella defluvii
2723,Sphingomonas trueperi
2724,Nitrobacter vulgaris
2725,Microvirga flocculans
2726,Salinibacter ruber
2727,Oceanibacterium hippocampi
2728,Rouxiella silvae
2729,Rouxiella badensis
2730,Corallococcus exiguus
2732,Tissierella carlieri
2734,Viridibacillus arenosi
2736,Pararobbsia silviterrae
2737,Zhihengliuella halotolerans
2739,Acidimangrovimonas sediminis
2741,Methylovulum psychrotolerans
2742,Agathobaculum butyriciproducens
2744,Gallibacterium salpingitidis
2745,Agrobacterium pusense
2746,Corallococcus aberystwythensis
2747,Raoultella ornithinolytica
2748,Photorhabdus akhurstii
2749,Pararhodobacter marinus
2750,Oceanobacillus profundus
2752,Paracoccus thiocyanatus
2754,Commensalibacter intestini
2755,Brenneria alni
2757,Aquitalea pelogenes
2758,Pandoraea pnomenusa
2759,Streptobacillus ratti
2761,Lonsdalea populi
2762,Moritella viscosa
2763,Roseospira marina
2764,Gottfriedia solisilvae
2765,Xenorhabdus innexi
2767,Carnobacterium maltaromaticum
2768,Chitinophaga silvisoli
2769,Anoxybacillus ayderensis
2770,Rufibacter latericius
2772,Photorhabdus laumondii
2773,Snodgrassella alvi
2774,Gilliamella apicola
2775,Mucilaginibacter gossypii
2778,Nostoc linckia
2779,Mameliella alba
2781,Vibrio chagasii
2787,Eisenbergiella porci
2788,Xenorhabdus stockiae
2789,Azospirillum thermophilum
2793,Streptomyces griseoincarnatus
2794,Gilliamella bombi
2796,Brevibacillus fortis
2799,Paracoccus sanguinis
2800,Lysinibacillus capsici
2801,Agrobacterium rosae
2803,Micromonospora echinospora
2804,Methylobacterium crusticola
2807,Elizabethkingia ursingii
2808,Geobacillus proteiniphilus
2809,Halomonas litopenaei
2810,Leptospira mayottensis
2812,Aurantimonas coralicida
2813,Staphylococcus petrasii
2814,Bailinhaonella thermotolerans
2817,Corynebacterium heidelbergense
2820,Streptomyces showdoensis
2822,Streptomyces phaeochromogenes
2823,Mycobacterium aquaticum
2825,Streptomyces niveiscabiei
2833,Bifidobacterium samirii
2834,Streptomyces hoynatensis
2835,Streptomyces klenkii
2836,Gulosibacter macacae
2838,Amycolatopsis eburnea
2839,Bifidobacterium castoris
2842,Aggregatibacter kilianii
2845,Pantoea piersonii
2847,Leuconostoc citreum
2849,Streptomyces leeuwenhoekii
2850,Streptomyces ambofaciens
2851,Actinoplanes lobatus
2857,Citrobacter youngae
2858,Aeromonas piscicola
2862,Roseibium album
2864,Christensenella intestinihominis
2865,Neisseria brasiliensis
2866,Marinomonas shanghaiensis
2868,Levilactobacillus fuyuanensis
2869,Levilactobacillus cerevisiae
2870,Nonlabens xiamenensis
2873,Spirosoma sordidisoli
2874,Corallincola luteus
2875,Lutibacter litoralis
2878,Leptospira yasudae
2879,Tabrizicola thermarum
2882,Lactobacillus xujianguonis
2883,Lapidilactobacillus bayanensis
2887,Falsigemmobacter faecalis
2888,Salinicola endophyticus
2892,Billgrantia azerbaijanica
2897,Lacticaseibacillus hulanensis
2898,Ligilactobacillus salitolerans
2899,Lacticaseibacillus baoqingensis
2900,Companilactobacillus hulinensis
2904,Levilactobacillus tangyuanensis
2905,Levilactobacillus mulengensis
2906,Lacticaseibacillus yichunensis
2908,Palleronia caenipelagi
2909,Tanticharoenia sakaeratensis
2910,Haloimpatiens lingqiaonensis
2912,Candidatus Macondimonas diazotrophica
2913,Rhodovastum atsumiense
2915,Pseudocitrobacter faecalis
2916,Marinobacter shengliensis
2918,Phocaeicola plebeius
2922,Roseibium aquae
2924,Herbidospora galbida
2927,Rosenbergiella epipactidis
2929,Cohaesibacter intestini
2935,Gemmobacter caeruleus
2936,Glycomyces buryatensis
2938,Rhodoplanes serenus
2947,Alloalcanivorax profundimaris
2949,Deinococcus indicus
2950,Azospirillum oryzae
2952,Vibrio panuliri
2957,Photorhabdus tasmaniensis
2960,Comamonas jiangduensis
2961,Brevibacillus thermoruber
2964,Candidatus Erwinia dacicola
2965,Acetobacter farinalis
2966,Nitratidesulfovibrio liaohensis
2967,Proteus penneri
2970,Salinicola salarius
2976,Acetobacter oryzifermentans
2977,Ligilactobacillus agilis
2978,Methylobacterium symbioticum
2980,Photobacterium leiognathi
2981,Shewanella canadensis
2983,Pseudoalteromonas amylolytica
2986,Citrobacter gillenii
2987,Prevotella intermedia
2994,Leptospira adleri
2996,Vibrio aquimaris
2997,Streptomyces lateritius
3003,Microvirga mediterraneensis
3006,Streptomyces misionensis
3012,Culicoidibacter larvae
3013,Phocaeicola dorei
3014,Franconibacter helveticus
3016,Brevibacillus porteri
3019,Geobacillus icigianus
3020,Geobacillus thermodenitrificans
3021,Pseudoalteromonas rhizosphaerae
3023,Neisseria iguanae
3024,Acinetobacter qingfengensis
3025,Siminovitchia fortis
3027,Staphylococcus coagulans
3028,Staphylococcus succinus
3030,Azospirillum melinis
3033,Methylorubrum extorquens
3036,Brevibacillus centrosporus
3041,Shewanella vesiculosa
3044,Pseudoalteromonas distincta
3049,Paenibacillus brasilensis
3050,Paraburkholderia terricola
3057,Streptomyces uncialis
3058,Streptomyces xiamenensis
3059,Streptomyces rubiginosohelvolus
3060,Micromonospora chalcea
3061,Streptomyces anulatus
3062,Streptomyces sp900091725
3063,Streptomyces luteogriseus
3064,Streptomyces cellulosae
3065,Velocimicrobium porci
3068,Acinetobacter guerrae
3069,Victivallis lenta
3070,Anaerovibrio slackiae
3074,Streptomyces microflavus
3076,Breznakia blatticola
3078,Shewanella baltica
3079,Serratia quinivorans
3080,Anaerococcus tetradius
3082,Streptomyces parvus
3083,Hallella bergensis
3084,Corynebacterium aurimucosum
3086,Dialister micraerophilus
3087,Lactobacillus iners
3089,Neisseria bacilliformis
3155,Clostridium sp. ATCC 29733
3914,Pediococcus pentosaceus
3916,Streptomyces zinciresistens
3917,Streptobacillus moniliformis
3919,Photobacterium malacitanum
3920,Novosphingobium resinovorum
3921,Pseudorhodobacter antarcticus
3923,Nocardia vulneris
3924,Photobacterium phosphoreum
3925,Rhizobium leucaenae
3926,Xanthomonas bromi
3932,Bifidobacterium goeldii
3934,Micromonospora costi
3939,Mycobacteroides franklinii
3940,Corynebacterium silvaticum
3942,Oceanimonas baumannii
3943,Acinetobacter indicus
3944,Acinetobacter kanungonis
3946,Streptomyces coelicoflavus
3948,Metabacillus halosaccharovorans
3951,Heyndrickxia oleronia
3953,Bacillus altitudinis
3966,Streptococcus gallolyticus
3967,Streptococcus sanguinis
3968,Streptococcus ruminantium
3969,Staphylococcus argensis
3970,Staphylococcus schweitzeri
3980,Lacticaseibacillus manihotivorans
3984,Fictibacillus aquaticus
3991,Sphingobacterium psychroaquaticum
3992,Ureibacillus thermophilus
3995,Fastidiosibacter lacustris
3997,Prevotella jejuni
3998,Achromobacter arsenitoxydans
3999,Dialister succinatiphilus
4000,Helcococcus kunzii
4001,Lacticaseibacillus zeae
4002,Planococcus versutus
4003,Planococcus halocryophilus
4005,Clostridium saccharoperbutylacetonicum
4006,Chishuiella changwenlii
4007,Chitinophaga jiangningensis
4010,Ligilactobacillus aviarius
4012,Cohnella thailandensis
4013,Peptostreptococcus canis
4019,Phocaeicola coprocola
4021,Yersinia aleksiciae
4023,Limosilactobacillus mucosae
4025,Chromobacterium violaceum
4026,Pantoea anthophila
4027,Corynebacterium coyleae
4029,Pantoea allii
4030,Pantoea septica
4031,Aeromonas bestiarum
4034,Paenibacillus ihbetae
4035,Corynebacterium phoceense
4040,Clostridium chauvoei
4041,Clostridium nigeriense
4043,Lawsonibacter asaccharolyticus
4044,Caballeronia cordobensis
4046,Streptomyces hawaiiensis
4047,Akkermansia muciniphila
4049,Sulfitobacter pontiacus
4050,Bosea lathyri
4051,Thalassovita gelatinovora
4052,Pedobacter antarcticus
4053,Companilactobacillus ginsenosidimutans
4054,Pedobacter africanus
4055,Sporomusa malonica
4056,Humidesulfovibrio mexicanus
4057,Sporomusa acidovorans
4058,Micromonospora carbonacea
4061,Azospirillum agricola
4063,Rhizobium mesoamericanum
4066,Bifidobacterium asteroides
4069,Bryocella elongata
4073,Parafrankia soli
4076,Lysobacter antibioticus
4077,Collimonas pratensis
4082,Aeromonas schubertii
4083,Pandoraea norimbergensis
4084,Rummeliibacillus stabekisii
4086,Prevotella fusca
4088,Bacillus siamensis
4093,Cohnella panacarvi
4094,Thermicanus aegyptius
4096,Sphingomonas phyllosphaerae
4100,Brevibacillus borstelensis
4102,Aliiroseovarius crassostreae
4103,Chryseobacterium aquaticum
4104,Neptunomonas antarctica
4106,Synechococcus elongatus
4109,Bibersteinia trehalosi
4110,Aromatoleum toluclasticum
4111,Sediminispirochaeta bajacaliforniensis
4115,Streptococcus henryi
4116,Proteiniphilum acetatigenes
4117,Prevotella amnii
4119,Enterobacter sichuanensis
4121,Lactobacillus hominis
4122,Vibrio cincinnatiensis
4125,Serratia nematodiphila
4126,Oligella urethralis
4131,Pectobacterium polaris
4132,Youhaiella tibetensis
4134,Pseudonocardia alni
4137,Marinobacter subterrani
4142,Marinomonas aquiplantarum
4143,Planococcus citreus
4144,Orbus hercynius
4145,Mycolicibacterium tokaiense
4146,Mycobacterium dioxanotrophicus
4147,Staphylococcus lutrae
4148,Staphylococcus muscae
4151,Serratia plymuthica
4152,Bacillus atrophaeus
4154,Streptomyces atriruber
4157,Cryobacterium zongtaii
4159,Virgibacillus halodenitrificans
4162,Derxia gummosa
4163,Paenibacillus uliginis
4164,Vibrio orientalis
4165,Atopobium minutum
4166,Propionimicrobium lymphophilum
4167,Corynebacterium accolens
4168,Corynebacterium kefirresidentii
4169,Mesorhizobium australicum
4174,Bradyrhizobium septentrionale
4176,Sphingobium yanoikuyae
4178,Sphingomonas albertensis
4179,Sphingomonas desiccabilis
4180,Sphingomonas olei
4181,Microbacterium caowuchunii
4183,Microbacterium rhizomatis
4185,Leclercia adecarboxylata
4188,Lysinibacillus pakistanensis
4190,Streptomyces diastatochromogenes
4191,Brevirhabdus pacifica
4192,Pedobacter duraquae
4194,Clostridium taeniosporum
4195,Clostridium septicum
4196,Burkholderia territorii
4197,Burkholderia diffusa
4200,Streptomyces typhae
4201,Pseudostreptobacillus hongkongensis
4202,Streptomyces rochei
4206,Terribacillus aidingensis
4207,Piscicoccus intestinalis
4209,Serratia grimesii
4210,Novosphingobium capsulatum
4211,Companilactobacillus nodensis
4212,Pseudovibrio denitrificans
4213,Agrobacterium deltaense
4214,Paenibacillus pabuli
4215,Lysinibacillus parviboronicapiens
4217,Streptomyces aidingensis
4218,Streptomyces wuyuanensis
4219,Mesorhizobium muleiense
4220,Maribacter dokdonensis
4221,Burkholderia pyrrocinia
4222,Halobacillus aidingensis
4223,Salinibacillus kushneri
4224,Sinosporangium album
4227,Amycolatopsis pretoriensis
4228,Jannaschia seohaensis
4230,Halolactibacillus miurensis
4231,Pedobacter terrae
4237,Pseudoscardovia suis
4239,Dysgonomonas alginatilytica
4241,Naumannella halotolerans
4242,Comamonas terrigena
4245,Streptococcus uberis
4248,Parasedimentitalea marina
4249,Ralstonia syzygii
4252,Crenobacter luteus
4254,Pseudoalteromonas gelatinilytica
4258,Nitratireductor soli
4259,Paenibacillus graminis
4260,Cronobacter universalis
4261,Aeromonas molluscorum
4262,Staphylococcus delphini
4263,Staphylococcus argenteus
4264,Staphylococcus ureilyticus
4266,Buttiauxella ferragutiae
4268,Paenarthrobacter ureafaciens
4278,Micromonospora sediminicola
4279,Pandoraea apista
4281,Trueperella pyogenes
4284,Pseudogemmobacter bohemicus
4286,Aliikangiella coralliicola
4289,Aeriscardovia aeriphila
4300,Acinetobacter haemolyticus
4301,Robinsoniella peoriensis
4307,Shimwellia blattae
4310,Diaphorobacter nitroreducens
4311,Nitratidesulfovibrio vulgaris
4312,Listeria welshimeri
4313,Paracoccus denitrificans
4314,Polaromonas naphthalenivorans
4315,Fulvimarina pelagi
4316,Desulforamulus reducens
4319,Pelotomaculum thermopropionicum
4320,Psychrobacter sanguinis
4326,Xanthobacter autotrophicus
4330,Bifidobacterium animalis
4332,Plesiomonas shigelloides
4341,Tetragenococcus halophilus
4342,Enterobacter oligotrophicus
4343,Yersinia canariae
4344,Bradyrhizobium canariense
4347,Fructilactobacillus fructivorans
4349,Lacticaseibacillus brantae
4351,Leeuwenhoekiella marinoflava
4352,Vibrio gazogenes
4355,Rahnella aceris
4356,Pantoea vagans
4371,Corynebacterium riegelii
4373,Brevibacillus reuszeri
4374,Lactococcus petauri
4384,Rossellomorea vietnamensis
4385,Citrobacter werkmanii
4386,Pantoea endophytica
4389,Bradyrhizobium centrolobii
4390,Bradyrhizobium elkanii
4391,Sphingomonas mucosissima
4395,Albimonas donghaensis
4396,Aquimarina intermedia
4397,Aidingimonas halophila
4398,Marinobacterium lutimaris
4399,Maritimibacter alkaliphilus
4400,Cribrihabitans marinus
4401,Capnocytophaga haemolytica
4402,Salipiger profundus
4403,Allgaiera indica
4410,Caballeronia mineralivorans
4413,Pseudorhodoplanes sinuspersici
4415,Acutalibacter muris
4417,Salipiger abyssi
4418,Christensenella massiliensis
4419,Herminiimonas arsenitoxidans
4422,Tatumella citrea
4432,Lactobacillus apis
4434,Methylobacterium organophilum
4439,Salinicola tamaricis
4440,Pleomorphomonas carboxyditropha
4443,Hydrogenovibrio marinus
4444,Sporomusa ovata
4447,Moraxella ovis
4448,Moraxella bovis
4450,Photobacterium angustum
4451,Photobacterium frigidiphilum
4453,Leuconostoc suionicum
4455,Pasteurella oralis
4460,Rathayibacter festucae
4466,Biostraticola tofi
4467,Sphingobacterium alimentarium
4468,Longicatena caecimuris
4469,Proteus myxofaciens
4474,Romboutsia timonensis
4475,Puniceibacterium antarcticum
4476,Buttiauxella noackiae
4477,Pseudohongiella acticola
4478,Roseibium alexandrii
4480,Halomonas shengliensis
4481,Pantoea dispersa
4483,Comamonas terrae
4484,Bradyrhizobium ottawaense
4485,Propionispira arboris
4488,Sphingobacterium mizutaii
4489,Bosea lupini
4490,Peptococcus niger
4491,Chitinophaga eiseniae
4492,Ignavigranum ruoffiae
4493,Tranquillimonas rosea
4494,Jiangella alba
4495,Paracoccus homiensis
4496,Clostridium gasigenes
4497,Actinoplanes derwentensis
4498,Salinihabitans flavidus
4500,Rhodococcus ruber
4503,Micromonospora rosaria
4510,Kutzneria viridogrisea
4512,Streptomyces spectabilis
4513,Streptomyces griseoloalbus
4514,Streptomyces zagrosensis
4520,Kribbella sandramycini
4522,Chitinimonas taiwanensis
4525,Cupriavidus nantongensis
4528,Streptomyces alboniger
4529,Streptomyces decoyicus
4530,Ignatzschineria cameli
4531,Methyloceanibacter stevinii
4532,Paraferrimonas sedimenticola
4534,Phytoactinopolyspora halophila
4535,Roseateles terrae
4536,Paraferrimonas haliotis
4537,Superficieibacter electus
4538,Acetatifactor muris
4540,Miniphocaeibacter massiliensis
4541,Solimicrobium silvestre
4542,Ignatzschineria indica
4543,Faecalimonas umbilicata
4545,Zavarzinia aquatilis
4547,Marinococcus halophilus
4551,Paenibacillus massiliensis
4557,Pigmentiphaga kullae
4558,Heliophilum fasciatum
4559,Lactobacillus panisapium
4563,Bosea vestrisii
4565,Sphingomonas aurantiaca
4568,Sinorhizobium americanum
4569,Actinocrispum wychmicini
4570,Camelimonas lactis
4571,Blautia coccoides
4572,Anaerospora hongkongensis
4574,Jejubacter calystegiae
4575,Ottowia oryzae
4576,Ethanoligenens harbinense
4577,Phascolarctobacterium faecium
4580,Methylocella tundrae
4581,Cedecea lapagei
4582,Acidipropionibacterium acidipropionici
4583,Anaerostipes rhamnosivorans
4584,Pragia fontium
4585,Limnobaculum zhutongyuii
4586,Muribaculum gordoncarteri
4587,Duncaniella dubosii
4588,Christensenella minuta
4590,Haematobacter massiliensis
4592,Gryllotalpicola protaetiae
4593,Kerstersia gyiorum
4594,Oricola cellulosilytica
4595,Listeria fleischmannii
4599,Aeromonas bivalvium
4600,Aeromonas allosaccharophila
4602,Brevibacterium luteolum
4604,Glutamicibacter nicotianae
4606,Pelagimonas phthalicica
4617,Curtobacterium flaccumfaciens
4619,Micromonospora craniellae
4620,Streptomyces huasconensis
4624,Gordonia oryzae
4627,Rhizobium lusitanum
4628,Paraburkholderia terrae
4630,Salipiger marinus
4631,Salipiger aestuarii
4632,Tropicimonas isoalkanivorans
4633,Pseudovibrio ascidiaceicola
4634,Desulfobacula toluolica
4635,Alkalibacterium subtropicum
4636,Palleronia pelagia
4637,Microbacterium enclense
4642,Pseudobacteroides cellulosolvens
4643,Achromobacter ruhlandii
4645,Sphingobium xenophagum
4646,Paenibacillus odorifer
4647,Paenibacillus glucanolyticus
4650,Bordetella hinzii
4652,Staphylococcus lugdunensis
4653,Edwardsiella piscicida
4658,Yersinia rochesterensis
4660,Yersinia bercovieri
4663,Raoultella planticola
4666,Bifidobacterium pseudolongum
4667,Microbacterium kyungheense
4668,Flavobacterium branchiophilum
4670,Kitasatospora atroaurantiaca
4673,Methylobacterium bullatum
4677,Rathayibacter caricis
4682,Paenarthrobacter nicotinovorans
4683,Agrobacterium cavarae
4688,Flavobacterium lindanitolerans
4694,Cupriavidus basilensis
4696,Proteus terrae
4699,Erwinia rhapontici
4700,Winslowiella toletana
4701,Pantoea cypripedii
4702,Corynebacterium freneyi
4703,Aeromicrobium fastidiosum
4705,Paraburkholderia aspalathi
4706,Erwinia aphidicola
4710,Chryseobacterium rhizosphaerae
4713,Herbaspirillum seropedicae
4714,Paraburkholderia phenoliruptrix
4715,Paraburkholderia caribensis
4716,Chitinophaga ginsengisegetis
4727,Streptomyces vinaceus
4728,Mycobacterium ostraviense
4731,Sphingomonas faeni
4734,Rhodobacter viridis
4735,Caballeronia udeis
4738,Porphyromonas gingivalis
4739,Streptococcus urinalis
4740,Streptomyces sioyaensis
4747,Peribacillus huizhouensis
4748,Flectobacillus major
4749,Jiangella gansuensis
4752,Marichromatium purpuratum
4754,Rhodanobacter denitrificans
4755,Caldanaerobius polysaccharolyticus
4756,Pedobacter gandavensis
4759,Ligilactobacillus ruminis
4760,Pseudoalteromonas byunsanensis
4761,Canicola haemoglobinophilus
4763,Flavobacterium oncorhynchi
4766,Corynebacterium jeikeium
4768,Lelliottia nimipressuralis
4769,Enterobacter vonholyi
4770,Latilactobacillus sakei
4771,Lacticaseibacillus zhaodongensis
4772,Rhizobium oryzihabitans
4774,Enterococcus termitis
4775,Clostridium vincentii
4776,Citrobacter europaeus
4777,Kosakonia radicincitans
4778,Runella zeae
4782,Bifidobacterium thermophilum
4786,Gemmobacter nectariphilus
4787,Hymenobacter norwichensis
4788,Helcococcus sueciensis
4789,Actinotignum urinale
4791,Microbacterium gubbeenense
4792,Leptotrichia hofstadii
4793,Stappia stellulata
4795,Streptomyces noursei
4797,Acuticoccus sediminis
4798,Paenalcaligenes suwonensis
4799,Adlercreutzia caecimuris
4801,Rubripirellula tenax
4812,Trinickia soli
4814,Adlercreutzia mucosicola
4815,Helcococcus ovis
4816,Amaricoccus solimangrovi
4818,Mobiluncus mulieris
4822,Paraburkholderia caledonica
4828,Scandinavium goeteborgense
4829,Streptococcus halitosis
4832,Solirubrum puertoriconensis
4834,Acidihalobacter prosperus
4835,Amantichitinum ursilacus
4837,Pseudarthrobacter siccitolerans
4839,Veillonella tobetsuensis
4840,Aeromonas enteropelogenes
4841,Paenibacillus solani
4844,Megasphaera elsdenii
4845,Chromobacterium haemolyticum
4846,Pseudoduganella lutea
4847,Pseudoduganella albidiflava
4848,Providencia heimbachae
4849,Brevibacillus brevis
4852,Brevundimonas diminuta
4853,Acetobacter ascendens
4854,Shewanella khirikhana
4855,Fusobacterium vincentii
4856,Haemophilus aegyptius
4857,Paraburkholderia caffeinilytica
4858,Paraburkholderia oxyphila
4859,Ralstonia mannitolilytica
4860,Mesorhizobium loti
4870,Neorhizobium tomejilense
4876,Achromobacter denitrificans
4878,Schumannella luteola
4885,Mesorhizobium terrae
4886,Collinsella stercoris
4895,Mesonia aquimarina
4899,Companilactobacillus mishanensis
4907,Neisseria musculi
4912,Chitinophaga rhizosphaerae
4913,Niallia taxi
4914,Comamonas koreensis
4916,Candidatus Methylospira mobilis
4917,Rhodanobacter thiooxydans
4918,Rhodanobacter fulvus
4919,Streptococcus intermedius
4922,Photobacterium marinum
4923,Bergeyella zoohelcum
4924,Afipia clevelandensis
4925,Klebsiella grimontii
4927,Haemophilus seminalis
4928,Bradyrhizobium quebecense
4929,Bradyrhizobium hipponense
4933,Polaromonas vacuolata
4936,Cellulosimicrobium cellulans
4939,Liquorilactobacillus cacaonum
4940,Secundilactobacillus similis
4941,Lactiplantibacillus pentosus
4942,Loigolactobacillus coryniformis
4943,Companilactobacillus kimchii
